IATA,AIRPORT,CITY,STATE,LATITUDE,LONGITUDE,ALT_ID
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137,12007
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318,12012
GUM,Guam International Airport,Agana,GU,13.48345,-144.79598,12016
HDN,Yampa Valley AirportÂ (Yampa Valley Regional),Hayden,CO,40.48118,-107.21766,12094
HIB,Range Regional AirportÂ (Chisholm-Hibbing Airport),Hibbing,MN,47.3866,-92.83899,12129
HLN,Helena Regional Airport,Helena,MT,46.60682,-111.98275,12156
HNL,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241,12173
HOB,Lea County Regional Airport,Hobbs,NM,32.68753,-103.21703,12177
HOU,William P. Hobby Airport,Houston,TX,29.64542,-95.27889,12191
HPN,Westchester County Airport,White Plains,NY,41.06696,-73.70757,12197
HRL,Valley International Airport,Harlingen,TX,26.22851,-97.65439,12206
HSV,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311,12217
HYA,Barnstable Municipal Airport,Hyannis,MA,41.66934,-70.28036,12250
HYS,Hays Regional Airport,Hays,KS,38.84494,-99.27403,12255
IAD,Washington Dulles International Airport,Dulles,VA,38.94453,-77.45581,12264
IAG,Niagara Falls International Airport,Niagara Falls,NY,43.10726,-78.94538,12265
IAH,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,12266
ICT,Wichita Dwight D. Eisenhower National AirportÂ (Wichita Mid-Continent Airport),Wichita,KS,37.64996,-97.43305,12278
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.51456,-112.07017,12280
ILG,Wilmington Airport,Wilmington,DE,39.67872,-75.60653,12320
ILM,Wilmington International Airport,Wilmington,NC,34.27061,-77.90256,12323
IMT,Ford Airport,Iron Mountain/Kingsford,MI,45.81835,-88.11454,12335
IND,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438,12339
INL,Falls International Airport,International Falls,MN,48.56619,-93.40307,12343
ISN,Sloulin Field International Airport,Williston,ND,48.17794,-103.64235,12389
ISP,Long Island MacArthur Airport,Islip,NY,40.79524,-73.10021,12391
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49103,-76.45844,12397
ITO,Hilo International Airport,Hilo,HI,19.72026,-155.04847,12402
JAC,Jackson Hole Airport,Jackson,WY,43.60732,-110.73774,12441
JAN,Jackson-Evers International Airport,Jackson,MS,32.31117,-90.07589,12448
JAX,Jacksonville International Airport,Jacksonville,FL,30.49406,-81.68786,12451
JFK,John F. Kennedy International AirportÂ (New York International Airport),New York,NY,40.63975,-73.77893,12478
JLN,Joplin Regional Airport,Joplin,MO,37.15181,-94.49827,12511
JMS,Jamestown Regional Airport,Jamestown,ND,46.92972,-98.6782,12519
JNU,Juneau International Airport,Juneau,AK,58.35496,-134.57628,12523
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,19.73877,-156.04563,12758
KTN,Ketchikan International Airport,Ketchikan,AK,55.35557,-131.71374,12819
LAN,Capital Region International AirportÂ ( Lansing Capital City),Lansing,MI,42.7787,-84.58736,12884
LAR,Laramie Regional Airport,Laramie,WY,41.31205,-105.67499,12888
LAS,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,12889
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,34.56771,-98.41664,12891
LAX,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,12892
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,33.66364,-101.82278,12896
LBE,Arnold Palmer Regional Airport,Latrobe,PA,40.27594,-79.4048,12898
LCH,Lake Charles Regional Airport,Lake Charles,LA,30.1261,-93.2234,12915
LEX,Blue Grass Airport,Lexington,KY,38.03697,-84.60539,12945
LFT,Lafayette Regional Airport,Lafayette,LA,30.20528,-91.98766,12951
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261,12953
LGB,Long Beach AirportÂ (Daugherty Field),Long Beach,CA,33.81772,-118.15161,12954
LIH,Lihue Airport,Lihue,HI,21.97598,-159.33896,12982
LIT,Bill and Hillary Clinton National AirportÂ (Adams Field),Little Rock,AR,34.7294,-92.22425,12992
LNK,Lincoln AirportÂ (Lincoln Municipal),Lincoln,NE,40.85097,-96.75925,13029
LRD,Laredo International Airport,Laredo,TX,27.54374,-99.46154,13061
LSE,La Crosse Regional Airport,La Crosse,WI,43.87938,-91.25654,13076
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,46.3745,-117.01539,13127
MAF,Midland International Airport,Midland,TX,31.94253,-102.20191,13158
MBS,MBS International Airport,Saginaw,MI,43.53291,-84.07965,13184
MCI,Kansas City International Airport,Kansas City,MO,39.29761,-94.71391,13198
MCO,Orlando International Airport,Orlando,FL,28.42889,-81.31603,13204
MDT,Harrisburg International Airport,Harrisburg,PA,40.1935,-76.7634,13230
MDW,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242,13232
MEI,Meridian Regional Airport,Meridian,MS,32.33313,-88.75121,13241
MEM,Memphis International Airport,Memphis,TN,35.04242,-89.97667,13244
MFE,McAllen-Miller International AirportÂ (McAllen Miller International),McAllen,TX,26.17583,-98.23861,13256
MFR,Rogue Valley International Airport,Medford,OR,42.37423,-122.8735,13264
MGM,Montgomery Regional Airport,Montgomery,AL,32.30064,-86.39398,13277
MHK,Manhattan Regional Airport,Manhattan,KS,39.14097,-96.67083,13290
MHT,Manchester-Boston Regional Airport,Manchester,NH,42.93452,-71.43706,13296
MIA,Miami International Airport,Miami,FL,25.79325,-80.29056,13303
MKE,General Mitchell International Airport,Milwaukee,WI,42.94722,-87.89658,13342
MKG,Muskegon County Airport,Muskegon,MI,43.16949,-86.23822,13344
MLB,Melbourne International Airport,Melbourne,FL,28.10275,-80.64581,13360
MLI,Quad City International Airport,Moline,IL,41.44853,-90.50754,13367
MLU,Monroe Regional Airport,Monroe,LA,32.51087,-92.03769,13377
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62405,-118.83777,13388
MOB,Mobile Regional Airport,Mobile,AL,30.69142,-88.24283,13422
MOT,Minot International Airport,Minot,ND,48.25938,-101.28033,13433
MQT,Sawyer International Airport,Marquette,MI,46.35364,-87.39536,13459
MRY,Monterey Regional AirportÂ (Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295,13476
MSN,Dane County Regional Airport,Madison,WI,43.13986,-89.33751,13485
MSO,Missoula International Airport,Missoula,MT,46.91631,-114.09056,13486
